Date,Country,Country_Geopolitical_Shock_Exposure,Country_Geo_Shock_Z,Country_Geo_Risk_Percentile,Country_Geo_Risk_Level
1/1/2019,United States,188.2742845,0.898055002,0.938844749,Extremely high
1/2/2019,United States,426.8434048,2.474550488,0.978016652,Extremely high
1/3/2019,United States,21.33895083,-0.205075192,0.62585034,High
1/4/2019,United States,222.6093281,1.124945394,0.948313168,Extremely high
1/5/2019,United States,91.00562873,0.255291192,0.878260719,Extremely high
1/6/2019,United States,91.04271044,0.255536233,0.878381887,Extremely high
1/7/2019,United States,186.9613618,0.88937904,0.938325457,Extremely high
1/8/2019,United States,152.608481,0.662370777,0.923958387,Extremely high
1/9/2019,United States,239.2704668,1.235044345,0.952692527,Extremely high
1/10/2019,United States,172.7464962,0.795445376,0.933392186,Extremely high
1/11/2019,United States,227.6067817,1.157969211,0.949663326,Extremely high
1/12/2019,United States,116.3639655,0.422862349,0.902234685,Extremely high
1/13/2019,United States,84.8211109,0.214423102,0.870782919,Extremely high
1/14/2019,United States,200.7072003,0.980213312,0.942427862,Extremely high
1/15/2019,United States,230.535335,1.177321469,0.950303786,Extremely high
1/16/2019,United States,208.5589943,1.032098978,0.944712745,Extremely high
1/17/2019,United States,361.1401013,2.040374593,0.972217895,Extremely high
1/18/2019,United States,253.6544191,1.330095356,0.955825587,Extremely high
1/19/2019,United States,50.17426299,-0.014527734,0.797701269,High
1/20/2019,United States,107.5421433,0.364566611,0.895137699,Extremely high
1/21/2019,United States,159.1787911,0.705788233,0.92691835,Extremely high
1/22/2019,United States,325.4601432,1.804596832,0.968098181,Extremely high
1/23/2019,United States,130.8182098,0.518377858,0.912118537,Extremely high
1/24/2019,United States,205.3138616,1.010654723,0.94377802,Extremely high
1/25/2019,United States,204.8896724,1.007851626,0.943622233,Extremely high
1/26/2019,United States,90.22816288,0.250153598,0.877360613,Extremely high
1/27/2019,United States,170.0295406,0.777491384,0.931990099,Extremely high
1/28/2019,United States,227.398273,1.156591359,0.949576777,Extremely high
1/29/2019,United States,228.0795656,1.161093428,0.949749875,Extremely high
1/30/2019,United States,390.4948114,2.234354299,0.975229787,Extremely high
1/31/2019,United States,333.0466953,1.854729746,0.968859809,Extremely high
2/1/2019,United States,276.1329503,1.478636386,0.960066469,Extremely high
2/2/2019,United States,184.383647,0.872345168,0.937373423,Extremely high
2/3/2019,United States,199.9834163,0.975430454,0.942168216,Extremely high
2/4/2019,United States,437.5822086,2.545513887,0.978916758,Extremely high
2/5/2019,United States,258.7139633,1.363529476,0.956829551,Extremely high
2/6/2019,United States,250.6619518,1.310320746,0.955219747,Extremely high
2/7/2019,United States,224.8544746,1.139781612,0.948901698,Extremely high
2/8/2019,United States,151.6024053,0.655722499,0.923473715,Extremely high
2/9/2019,United States,73.75346368,0.141286663,0.854373301,Extremely high
2/10/2019,United States,95.19950436,0.283004863,0.883263229,Extremely high
2/11/2019,United States,234.6988865,1.204834754,0.951515466,Extremely high
2/12/2019,United States,168.2899912,0.765996217,0.931072684,Extremely high
2/13/2019,United States,215.7288697,1.079478439,0.946651434,Extremely high
2/14/2019,United States,186.0973071,0.883669255,0.938031192,Extremely high
2/15/2019,United States,352.7981602,1.985249971,0.971144692,Extremely high
2/16/2019,United States,149.9170701,0.644585587,0.922746707,Extremely high
2/17/2019,United States,209.645407,1.039278133,0.94505894,Extremely high
2/18/2019,United States,163.2542772,0.73271957,0.9287878,Extremely high
2/19/2019,United States,283.4209324,1.526796311,0.961503176,Extremely high
2/20/2019,United States,416.5798746,2.406727758,0.977410812,Extremely high
2/21/2019,United States,283.3570133,1.526373925,0.961485867,Extremely high
2/22/2019,United States,168.823581,0.769522247,0.93131502,Extremely high
2/23/2019,United States,114.052738,0.40758946,0.900521023,Extremely high
2/24/2019,United States,182.2894141,0.858506207,0.936715653,Extremely high
2/25/2019,United States,338.006461,1.887504517,0.969431029,Extremely high
2/26/2019,United States,303.7076833,1.660853775,0.96505167,Extremely high
2/27/2019,United States,390.3665146,2.233506497,0.975195167,Extremely high
2/28/2019,United States,395.4100234,2.266834653,0.97562791,Extremely high
3/1/2019,United States,346.3078943,1.942361458,0.970521542,Extremely high
3/2/2019,United States,247.2988821,1.288097148,0.954648526,Extremely high
3/3/2019,United States,145.9577683,0.618422011,0.920963805,Extremely high
3/4/2019,United States,118.1745698,0.434827055,0.903567534,Extremely high
3/5/2019,United States,193.4817789,0.932466796,0.940627651,Extremely high
3/6/2019,United States,152.0657761,0.658784513,0.923681432,Extremely high
3/7/2019,United States,170.9895117,0.783834996,0.932405532,Extremely high
3/8/2019,United States,103.2612252,0.336277753,0.891450728,Extremely high
3/9/2019,United States,153.1757505,0.666119367,0.924330546,Extremely high
3/10/2019,United States,43.58271132,-0.058085556,0.773709993,High
3/11/2019,United States,84.27741515,0.21083029,0.870125149,Extremely high
3/12/2019,United States,190.1720995,0.910596008,0.939554448,Extremely high
3/13/2019,United States,216.3409873,1.083523391,0.946772602,Extremely high
3/14/2019,United States,125.1381257,0.48084313,0.908552734,Extremely high
3/15/2019,United States,114.7195574,0.411995888,0.901126863,Extremely high
3/16/2019,United States,153.1757505,0.666119367,0.924330546,Extremely high
3/17/2019,United States,61.10860127,0.057727783,0.828997248,Extremely high
3/18/2019,United States,150.0524981,0.645480513,0.922833255,Extremely high
3/19/2019,United States,201.6583996,0.986498959,0.942687508,Extremely high
3/20/2019,United States,113.1979289,0.401940771,0.899672846,Extremely high
3/21/2019,United States,166.8190436,0.756276006,0.930466843,Extremely high
3/22/2019,United States,230.5834107,1.177639159,0.950321095,Extremely high
3/23/2019,United States,145.9050706,0.618073778,0.920842637,Extremely high
3/24/2019,United States,126.1217288,0.487342906,0.909175884,Extremely high
3/25/2019,United States,96.46798941,0.291387175,0.884924962,Extremely high
