Date,Region,Country,NO2_mean_mol_m2
2019-01-01,Europe,Austria,1.092607129864062e-05
2019-01-02,Europe,Austria,2.1234907666230632e-05
2019-01-03,Europe,Austria,9.529082137340931e-06
2019-01-04,Europe,Austria,9.437138754660898e-06
2019-01-05,Europe,Austria,-4.091470605175738e-07
2019-01-06,Europe,Austria,1.6050639464072582e-05
2019-01-07,Europe,Austria,1.6326424411958102e-06
2019-01-08,Europe,Austria,1.6073993457211464e-05
2019-01-09,Europe,Austria,1.3788029332813616e-05
2019-01-10,Europe,Austria,3.836850776759328e-05
2019-01-11,Europe,Austria,3.053805506215499e-05
2019-01-12,Europe,Austria,1.6170543875310507e-05
2019-01-13,Europe,Austria,2.030381615013517e-05
2019-01-14,Europe,Austria,3.0206501520540187e-05
2019-01-15,Europe,Austria,2.010397912747457e-05
2019-01-16,Europe,Austria,3.246527305065588e-05
2019-01-17,Europe,Austria,5.557079634952063e-05
2019-01-18,Europe,Austria,2.7735070101417636e-05
2019-01-19,Europe,Austria,2.5172283703045813e-05
2019-01-20,Europe,Austria,2.288152317439254e-05
2019-01-21,Europe,Austria,3.125734169045927e-05
2019-01-22,Europe,Austria,2.686422505133787e-05
2019-01-23,Europe,Austria,2.023525798215139e-05
2019-01-24,Europe,Austria,1.628814745399757e-05
2019-01-25,Europe,Austria,4.518932941070814e-05
2019-01-26,Europe,Austria,5.242123071934855e-06
2019-01-27,Europe,Austria,1.3304037280836977e-05
2019-01-28,Europe,Austria,1.233184654790402e-05
2019-01-29,Europe,Austria,3.108765869757725e-05
2019-01-30,Europe,Austria,5.3816383703321314e-05
2019-01-31,Europe,Austria,3.247401920396113e-05
2019-02-01,Europe,Austria,2.451999981759339e-05
2019-02-02,Europe,Austria,4.988072385550104e-05
2019-02-03,Europe,Austria,3.7989332361943656e-05
2019-02-04,Europe,Austria,2.628173638849375e-05
2019-02-05,Europe,Austria,3.310123877887071e-05
2019-02-06,Europe,Austria,3.514667510564549e-05
2019-02-07,Europe,Austria,4.501551479249956e-05
2019-02-08,Europe,Austria,4.452357619669939e-05
2019-02-09,Europe,Austria,3.953460875828558e-05
2019-02-10,Europe,Austria,3.529916653046324e-05
2019-02-11,Europe,Austria,2.237388333890817e-05
2019-02-12,Europe,Austria,2.869253023754875e-05
2019-02-13,Europe,Austria,3.3665603314199865e-05
2019-02-14,Europe,Austria,2.8602625803756463e-05
2019-02-15,Europe,Austria,3.7049397351541926e-05
2019-02-16,Europe,Austria,3.2669946389709745e-05
2019-02-17,Europe,Austria,3.566060813980433e-05
2019-02-18,Europe,Austria,4.8875602498092096e-05
2019-02-19,Europe,Austria,6.7820074799533e-05
2019-02-20,Europe,Austria,3.0101352134354257e-05
2019-02-21,Europe,Austria,3.59378067945256e-05
2019-02-22,Europe,Austria,3.191941581389884e-05
2019-02-23,Europe,Austria,2.5963864665901608e-05
2019-02-24,Europe,Austria,1.1980455115073897e-05
2019-02-25,Europe,Austria,2.459882696173892e-05
2019-02-26,Europe,Austria,2.554105437872231e-05
2019-02-27,Europe,Austria,4.325842970102442e-05
2019-02-28,Europe,Austria,5.3137158932200553e-05
2019-03-01,Europe,Austria,4.190311279958103e-05
2019-03-02,Europe,Austria,1.2036664576833528e-05
2019-03-03,Europe,Austria,2.05349876487438e-05
2019-03-04,Europe,Austria,3.363871445365645e-05
2019-03-05,Europe,Austria,1.8125647101528683e-05
2019-03-06,Europe,Austria,5.529481116990847e-05
2019-03-07,Europe,Austria,4.675909818626213e-05
2019-03-08,Europe,Austria,2.149127092534679e-05
2019-03-09,Europe,Austria,2.06346362387728e-05
2019-03-10,Europe,Austria,3.16382649222452e-05
2019-03-11,Europe,Austria,1.4024530130918816e-05
2019-03-12,Europe,Austria,2.120430833577465e-05
2019-03-13,Europe,Austria,9.961073721915135e-06
2019-03-14,Europe,Austria,2.9156056515318965e-05
2019-03-15,Europe,Austria,3.182258865592204e-05
2019-03-16,Europe,Austria,1.84631671898941e-05
2019-03-17,Europe,Austria,3.77259397312665e-05
2019-03-18,Europe,Austria,1.0262712072151197e-05
2019-03-19,Europe,Austria,1.4483396254279713e-05
2019-03-20,Europe,Austria,2.1413155175325693e-05
2019-03-21,Europe,Austria,3.776876460250092e-05
2019-03-22,Europe,Austria,3.933866995755257e-05
2019-03-23,Europe,Austria,2.6568138910166644e-05
2019-03-24,Europe,Austria,2.3993608443248345e-05
2019-03-25,Europe,Austria,2.8433276994754052e-05
2019-03-26,Europe,Austria,1.264713118818829e-05
2019-03-27,Europe,Austria,1.1610234156900567e-05
2019-03-28,Europe,Austria,1.2808785192143445e-05
2019-03-29,Europe,Austria,2.3584534856360647e-05
2019-03-30,Europe,Austria,3.0126082619298677e-05
2019-03-31,Europe,Austria,2.595137428089704e-05
2019-04-01,Europe,Austria,3.1615090855922e-05
2019-04-02,Europe,Austria,3.1078304565103866e-05
2019-04-03,Europe,Austria,3.182319643570753e-05
2019-04-04,Europe,Austria,1.814341558021195e-05
2019-04-05,Europe,Austria,1.8915245098854465e-05
2019-04-06,Europe,Austria,1.9621825877654422e-05
2019-04-07,Europe,Austria,1.505942911383364e-05
2019-04-08,Europe,Austria,2.433355829277409e-05
2019-04-09,Europe,Austria,2.619745993081187e-05
2019-04-10,Europe,Austria,1.1153739007778649e-05
2019-04-11,Europe,Austria,1.65621993721689e-05
2019-04-12,Europe,Austria,2.6015468849133227e-05
2019-04-13,Europe,Austria,1.6867831267853566e-05
2019-04-14,Europe,Austria,1.6881924639511218e-05
2019-04-15,Europe,Austria,4.695082075514048e-05
2019-04-16,Europe,Austria,4.235229119248019e-05
2019-04-17,Europe,Austria,3.39617630955248e-05
2019-04-18,Europe,Austria,3.248330554783524e-05
2019-04-19,Europe,Austria,2.7096898505585092e-05
2019-04-20,Europe,Austria,2.335369775044038e-05
2019-04-21,Europe,Austria,2.4517878595444142e-05
2019-04-22,Europe,Austria,2.6433801722532884e-05
