Region,Country,NO₂ p2,NO₂ p25,NO₂ Mean,NO₂ p75,NO₂ p98
North America,United States,7.190e-06,1.383e-05,1.954e-05,2.621e-05,4.814e-05
North America,Mexico,7.211e-06,1.097e-05,1.383e-05,1.669e-05,3.855e-05
Europe,Germany,3.296e-05,4.150e-05,4.626e-05,5.194e-05,8.619e-05
Europe,France,1.406e-05,2.169e-05,2.554e-05,3.171e-05,5.549e-05
Europe,Italy,1.192e-05,2.146e-05,2.716e-05,4.049e-05,8.911e-05
Europe,Spain,1.412e-05,1.789e-05,2.026e-05,2.360e-05,4.373e-05
Europe,Portugal,1.516e-05,1.825e-05,2.065e-05,2.513e-05,4.293e-05
Europe,Denmark,2.320e-05,2.747e-05,3.022e-05,3.572e-05,4.331e-05
Europe,Netherlands,3.977e-05,5.446e-05,7.088e-05,8.036e-05,1.020e-04
Europe,Sweden,3.942e-06,6.791e-06,9.900e-06,1.705e-05,2.918e-05
Europe,Austria,9.377e-06,1.871e-05,2.853e-05,3.896e-05,5.179e-05
Europe,Belgium,3.504e-05,4.650e-05,6.363e-05,7.613e-05,1.003e-04
Europe,Hungary,2.448e-05,2.824e-05,3.062e-05,3.371e-05,5.000e-05
Europe,Romania,1.075e-05,1.885e-05,2.172e-05,2.407e-05,3.363e-05
Europe,United Kingdom,9.778e-06,2.025e-05,3.076e-05,4.884e-05,7.746e-05
Asia-Pacific,Japan,6.890e-06,1.621e-05,2.194e-05,3.333e-05,9.272e-05
Emerging Markets,China,1.466e-06,6.171e-06,1.382e-05,3.193e-05,1.101e-04
Emerging Markets,India,6.756e-06,2.582e-05,3.145e-05,4.101e-05,8.664e-05
Emerging Markets,Indonesia,1.494e-06,5.249e-06,8.109e-06,1.191e-05,2.910e-05
Emerging Markets,Thailand,1.168e-05,2.315e-05,2.835e-05,3.315e-05,5.594e-05
Emerging Markets,Vietnam,1.390e-05,1.857e-05,2.811e-05,3.955e-05,8.069e-05
Emerging Markets,Philippines,5.517e-06,9.300e-06,1.214e-05,1.742e-05,3.406e-05
Emerging Markets,Peru,2.457e-06,5.278e-06,6.189e-06,7.103e-06,1.473e-05
Emerging Markets,Brazil,4.376e-06,6.184e-06,8.114e-06,1.001e-05,1.569e-05
