Date,Region,Country,NO₂ (mol/m²),SO₂ (mol/m²),CH₄ (ppb),Nighttime Lights,NDVI,Tree Cover Loss (km²),LST °C (Heat),Precipitation mm/day,Urban Built Fraction,Surface Water Occ. (%)
5/8/2026,Asia-Pacific,Japan,,,,,,10542.37,,,,87.22568719
5/8/2026,Emerging Markets,Brazil,,,,,,,,,,
5/8/2026,Emerging Markets,China,,,,,,190762.91,,,,78.64596409
5/8/2026,Emerging Markets,India,,,,,,34579.15,,,,60.7916525
5/8/2026,Emerging Markets,Indonesia,,,,,,,,,,84.35699477
5/8/2026,Emerging Markets,Mexico,,,,,,62894.12,,,,80.32139146
5/8/2026,Emerging Markets,Peru,,,,,,47267.43,,,,78.42450554
5/8/2026,Emerging Markets,Philippines,,,,,,17101.57,,,,86.20044648
5/8/2026,Emerging Markets,Thailand,,,,,,41354.74,,,,67.89031667
5/8/2026,Emerging Markets,Vietnam,,,,,,54920.73,,,,57.77669871
5/8/2026,Europe,Austria,,,,,,4760.54,,,,91.97775465
5/8/2026,Europe,Belgium,,,,,,1339.83,,,,83.3805809
5/8/2026,Europe,Denmark,,,,,,1191.76,,,0.121457044,90.19606754
5/8/2026,Europe,France,,,,,,17857.25,,,,84.18831354
5/8/2026,Europe,Germany,,,,,,15414.38,,,0.120006069,87.76106612
5/8/2026,Europe,Hungary,,,,,,3298.43,,,0.104571009,88.27056625
5/8/2026,Europe,Italy,,,,,,6620.95,,,,90.50448883
5/8/2026,Europe,Netherlands,,,,,,380.37,,,0.123810715,86.90254752
5/8/2026,Europe,Portugal,,,,,,19795.59,,,0.072948003,82.75818665
5/8/2026,Europe,Romania,,,,,,4914.19,,,0.056075757,81.77234849
5/8/2026,Europe,Spain,,,,,,25162.22,,,,80.42424787
5/8/2026,Europe,Sweden,,,,,,65378.31,,,,89.31360395
5/8/2026,Europe,United Kingdom,,,,,,6587.07,,,,85.32319165
5/8/2026,North America,United States,,,,,,504026.51,,,,83.29489434
